Region,Latitude,Longitude
Val Verde,34.4449952,-118.657589
Mar Vista,34.0037605,-118.4391641
South Edwards,33.62809,-91.78913
Bouquet Canyon,34.5770311,-118.3859379
Gardena,33.8963593,-118.3053037
Glassell Park,34.1161201,-118.2289627
El Monte,34.0751571,-118.036849
Beverlywood,34.0459334,-118.39492
Vernon Central,34.007135,-118.22525
Monterey Park,34.051522,-118.129807
Santa Monica Mountains,34.031132,-118.261507
Unincorporated Santa Monica Mountains, 34.031132,-118.261507
Sherman Oaks,34.1508718,-118.4489865
Marina Peninsula,33.7487127,-118.1227115
Regent Square,34.0615961,-118.4465521
Valley Village,34.1637147,-118.3965758
Rancho Palos Verdes,33.7483311,-118.3707683
Ladera Heights,33.9941792,-118.3753543
Lynwood,33.924831,-118.2024154
Westfield/Academy Hills,34.077197,-118.232779
Canyon Country,34.4233293,-118.4720281
Littlerock,34.5213675,-117.9873936
La Puente,34.01979,-117.9503677
Azusa,34.1338751,-117.9056046
Westlake,34.0629226,-118.2728204
Lawndale,33.8885217,-118.3531991
Bell,33.9747806,-118.1866361
Baldwin Hills,34.0109887,-118.3370709
Gramercy Place,33.8677941,-118.3135464
Pomona,34.0553813,-117.7517496
Rowland Heights,33.9761238,-117.9053395
Santa Catalina Island,33.3889037,-118.4239288
Compton,33.894927,-118.226624
East La Mirada,33.9244577,-117.9889525
Franklin Canyon,34.1106939,-118.4172199
Cerritos,33.8644291,-118.0539323
Temple,34.0536909,-118.2427666
Hacienda Heights,33.9930677,-117.9686755
Los Feliz,34.1100408,-118.2889236
Pico Rivera,33.9830688,-118.096735
Baldwin Park,34.0854739,-117.9611761
Reynier Village,34.0355228,-118.3864708
East Covina,34.1024,-117.854865
Sun Village,34.006541,-118.157565
Lincoln Heights,34.0812482,-118.2034419
Rosewood/East Gardena,34.110468,-118.252956
West Carson,33.8216836,-118.2925722
Rancho Park,34.0344461,-118.4252632
Rosewood/West Rancho Dominguez,34.005207,-118.447741
San Jose Hills,34.1439158,-118.7611438
Santa Fe Springs,33.9480787,-118.0691499
Northeast San Gabriel,34.0991325,-118.1086041
Beverly Crest,34.1167701,-118.4322607
Vermont Knolls,33.9668188,-118.29167
Pacific Palisades,34.0480643,-118.5264706
View Heights,34.033882,-118.347713
Westchester,33.9597349,-118.4006322
City,34.0536909,-118.2427666
Inglewood,33.9562003,-118.353132
Avalon,33.34221,-118.3272612
Anaverde,34.5693313,-118.1630709
Pasadena,34.1476452,-118.1444779
Bellflower,33.8825705,-118.1167679
Leona Valley,34.618321,-118.288133
Palos Verdes Peninsula,34.071852,-118.470828
Silverlake,34.092941,-118.2697155
Silver Lake,34.092941,-118.2697155
Los Angeles - Silverlake,34.092941,-118.2697155
Lomita,33.8036545,-118.3195014
Green Meadows,33.9409877,-118.2629968
East Rancho Dominguez,33.8980712,-118.195348
Rancho Dominguez,33.859592,-118.2106472
Desert View Highlands,34.5899777,-118.153456
Vermont Square,34.0019449,-118.3002125
Santa Clarita,34.3916641,-118.542586
Willowbrook,33.9187863,-118.2343933
West Vernon,34.007135,-118.22525
Roosevelt,33.8647381,-118.3036841
Northridge,34.2345615,-118.5369316
Chatsworth,34.2595715,-118.6023247
San Francisquito Canyon/Bouquet Canyon,34.048065,-118.263322
Harvard Park,33.9839471,-118.3046228
Del Rey,33.9896527,-118.4243437
West Covina,34.0686208,-117.9389526
Saugus,34.4493489,-118.5168257
Bradbury,34.1469511,-117.9708982
Little Bangladesh,34.056179,-118.271908
South Antelope Valley,33.993048,-118.129858
Huntington Park,33.9827043,-118.2120343
Carson,33.8322043,-118.2517547
Arcadia,34.1362075,-118.0401497
Little Armenia,34.0981716,-118.3044966
Jefferson Park,34.0272344,-118.3175756
Wilshire Center,34.0615146,-118.4327712
Reseda,34.2000784,-118.5369884
Tujunga,34.252225,-118.2884105
El Segundo,33.917028,-118.4156337
Winnetka,34.2058826,-118.570934
Maywood,33.9866807,-118.185349
Harvard Heights,34.0471105,-118.3054828
Sunrise Village,34.6730416,-118.1317393
Miracle Mile,34.008544,-118.133415
Palisades Highlands,34.040067,-118.345948
La Verne,34.1008426,-117.7678355
Walnut,34.0202894,-117.8653386
Redondo Beach,33.8455911,-118.3886766
Hi Vista,34.734986,-117.777285
Atwater Village,34.1163979,-118.2564637
Signal Hill,33.804826,-118.168259
Agoura Hills,34.14791,-118.7657042
San Fernando,34.28497,-118.437652
Park La Brea,34.0674016,-118.3552363
Studio City,34.1483989,-118.3961877
Venice,33.995044,-118.4668875
Downtown,34.0428494,-118.2476732
West Hills,34.2032325,-118.645476
West Whittier/Los Nietos,34.036211,-118.219955
West Whittier-Los Nietos,34.036211,-118.219955
Unincorporated - West Whittier/Los Nietos,34.036211,-118.219955
Pacoima,34.2625025,-118.427027
Toluca Terrace,34.1521688,-118.3571417
Country Club Park,34.050289,-118.3211871
Lake Los Angeles,34.6127395,-117.8403955
Whittier,33.9708782,-118.0308396
San Clemente Island,32.9182018,-118.5098651
Covina (Charter Oak),34.0994225,-117.8642846
North Lancaster,34.6981064,-118.1366153
Sylmar,34.3076252,-118.4492148
Hollywood Hills,34.1311792,-118.3355474
West Antelope Valley,33.993048,-118.129858
Florence-Firestone,33.9674263,-118.2433068
Shadow Hills,34.2619469,-118.3517463
Athens Village,33.920407,-118.2790494
Sunland,34.2669466,-118.3023
Exposition Park,34.013654,-118.2872106
Valinda,34.0384785,-117.933559
Hyde Park,33.9805691,-118.3306308
Twin Lakes/Oat Mountain,34.2780578,-118.6014769
Temple City,34.1082994,-118.0577568
Wellington Square,34.043033,-118.331976
North Whittier,33.9708782,-118.0308396
South San Gabriel,34.0625103,-118.0903465
Wilmington,33.7800164,-118.2625095
Encino,34.1591324,-118.5016166
Brookside,34.0536909,-118.2427666
Wholesale District,34.0365749,-118.2354342
Sun Valley,34.2175042,-118.3703576
Downey,33.942215,-118.1235646
Agua Dulce,34.4963817,-118.3256348
Brentwood,34.0521403,-118.4740699
Stevenson Ranch,34.3864721,-118.5826635
Rosewood,34.0802873,-118.3609109
East Hollywood,34.0904277,-118.2966254
Marina del Rey,33.9776848,-118.4486479
Commerce,34.002581,-118.156586
Toluca Lake,34.1521688,-118.3571417
San Marino,34.1215947,-118.1057394
Palmdale,34.5793131,-118.1171108
Playa Vista,33.9760102,-118.4181654
Tarzana,34.1714436,-118.5429789
Van Nuys,34.1866193,-118.4486669
North Hollywood,34.1729044,-118.3740371
Castaic,34.4888822,-118.6228656
West LA,34.0862693,-118.3210745
Placerita Canyon,34.3779835,-118.4939716
Central,34.0536909,-118.2427666
Granada Hills,34.2661558,-118.5174342
Industry,34.0197335,-117.9586754
Montebello,34.0159398,-118.111975
Victoria Park,34.0466887,-118.3307729
Echo Park,34.0779819,-118.2567824
University Park,34.027449,-118.2839493
Culver City,34.0211224,-118.3964665
Pearblossom/Llano,34.5060587,-117.828906
Lake Hughes,34.6774576,-118.4487112
Artesia,33.8690197,-118.0796195
Bell Gardens,33.9694561,-118.1503953
Mid-city,34.0415271,-118.3603703
Mid-City,34.0415271,-118.3603703
Los Angeles - Mid-city, 34.0415271,-118.3603703
Mt. Washington,34.0988396,-118.2211069
Mount Washington,34.0988396,-118.2211069
Los Angeles - Mt. Washington, 34.0988396,-118.2211069
Westlake Village,34.1460234,-118.8061794
Southeast Antelope Valley,33.993048,-118.129858
West Hollywood,34.0923014,-118.3692894
View Park/Windsor Hills,33.9991532,-118.3461936
View Park-Windsor Hills,33.9991532,-118.3461936
Unincorporated - View Park/Windsor Hills,33.9991532,-118.3461936 
Carthay,34.0611213,-118.3672997
Del Aire,33.9232739,-118.3747023
Pico-Union,34.0465669,-118.2878942
Lafayette Square,34.046406,-118.33379
San Gabriel,34.0991325,-118.1086041
Whittier Narrows,34.0224917,-118.085105
Vernon,34.007135,-118.22525
South Pasadena,34.1133062,-118.1478291
Eagle Rock,34.1366877,-118.2076796
La Habra Heights,33.9604546,-117.9504255
Little Tokyo,34.0482168,-118.2411814
St Elmo Village,34.006541,-118.157565
Porter Ranch,34.2818164,-118.5612714
Mission Hills,34.2572249,-118.4670285
Thai Town,34.1018533,-118.3048616
Pellissier Village,34.0612702,-118.3085647
Crestview,34.0621851,-118.4250119
San Pedro,33.7358518,-118.2922934
South Whittier,33.9435081,-118.0347827
Bassett,34.0497323,-117.9967323
West Puente Valley,34.049858,-117.9646293
Adams-Normandie,34.0317877,-118.3002466
Claremont,34.0966764,-117.7197785
Cloverdale/Cochran,34.062323,-118.346155
Elysian Park,34.0774343,-118.2386204
Mandeville Canyon,34.0610395,-118.4949801
Newhall,34.3798765,-118.5291917
Sand Canyon,34.40865,-118.4136226
Malibu,34.035591,-118.689423
Avocado Heights,34.0409746,-117.9970096
Rolling Hills,33.7668041,-118.3496623
Bandini Islands,34.008658,-118.216304
Angeles National Forest,34.3216546,-118.019201
Lakewood,33.8503463,-118.1171914
Reseda Ranch,34.2765145,-118.5363704
Duarte,34.1394513,-117.9772873
Lennox,33.9390306,-118.3574427
Covina,34.1024,-117.854865
Figueroa Park Square,34.065295,-118.244762
East Whittier,33.9244577,-117.9889525
Hancock Park,34.0677881,-118.3325765
Padua Hills,34.1508414,-117.7020004
